generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
44,1135.041982,1143.292871,1363.611870,1.000000
45,1135.041982,1137.153438,1396.783467,1.000000
46,1135.041982,1161.190115,1333.717512,1.000000
47,1135.041982,1137.153438,1364.969540,1.000000
48,1135.041982,1136.768909,1347.873788,1.000000
49,1135.041982,1137.186412,1326.716232,1.000000
50,1135.041982,1180.122636,1400.964388,1.000000
51,1135.041982,1137.153438,1337.528443,1.000000
52,1135.041982,1137.153438,1356.960936,1.000000
53,1135.041982,1158.588717,1345.701499,1.000000
54,1135.041982,1135.074955,1306.034858,1.000000
55,1135.041982,1135.311524,1311.482260,1.000000
56,1135.041982,1136.637963,1306.034858,1.000000
57,1135.041982,1137.153438,1383.249919,1.000000
58,1135.041982,1176.713312,1456.141692,1.000000
59,1135.041982,1135.489282,1337.238868,1.000000
60,1135.041982,1135.217556,1311.482260,1.000000
61,1135.041982,1135.041982,1318.854467,1.000000
62,1135.041982,1135.041982,1409.365069,1.000000
63,1135.041982,1135.515118,1351.375806,1.000000
64,1135.041982,1137.153438,1320.484023,1.000000
65,1135.041982,1180.227062,1431.552407,1.000000
66,1135.041982,1169.417799,1410.641356,1.000000
67,1135.041982,1137.153438,1324.846242,1.000000
68,1135.041982,1137.153438,1434.130416,1.000000
69,1135.041982,1137.153438,1330.184641,1.000000
70,1135.041982,1137.153438,1391.505145,1.000000
71,1135.041982,1137.153438,1314.565752,1.000000
72,1135.041982,1137.153438,1307.213851,1.000000
73,1135.041982,1152.922123,1359.058137,1.000000
74,1135.041982,1137.153438,1443.447002,1.000000
75,1135.041982,1135.041982,1404.837137,1.000000
76,1135.041982,1137.153438,1346.880024,1.000000
77,1135.041982,1137.153438,1339.743866,1.000000
78,1135.041982,1175.931893,1411.803498,1.000000
79,1135.041982,1175.827467,1327.792407,1.000000
80,1135.041982,1137.153438,1325.152340,1.000000
81,1135.041982,1135.515118,1306.034858,1.000000
82,1135.041982,1137.153438,1306.034858,1.000000
83,1135.041982,1135.515118,1455.626265,1.000000
84,1135.041982,1138.917785,1337.550468,1.000000
85,1135.041982,1143.357829,1348.854055,1.000000
86,1135.041982,1178.252079,1327.811799,1.000000
87,1135.041982,1159.019883,1349.649827,1.000000
88,1135.041982,1153.489259,1361.363682,1.000000
89,1135.041982,1137.153438,1424.456912,1.000000
90,1135.041982,1137.884838,1467.342489,1.000000
91,1135.041982,1154.220015,1374.626906,1.000000
92,1135.041982,1180.227062,1431.552407,1.000000
93,1135.041982,1137.153438,1356.053360,1.000000
94,1135.041982,1137.602509,1347.017006,1.000000
95,1135.041982,1135.278550,1314.401823,1.000000
96,1135.041982,1137.153438,1360.355660,1.000000
97,1135.041982,1137.153438,1414.357516,1.000000
98,1135.041982,1176.681683,1380.210034,1.000000
99,1135.041982,1167.220400,1348.663460,1.000000
100,1135.041982,1176.990418,1411.564966,1.000000
101,1135.041982,1158.911733,1332.581133,1.000000
102,1135.041982,1169.379560,1327.598137,1.000000
103,1135.041982,1137.153438,1416.327167,1.000000
104,1135.041982,1135.041982,1304.581394,1.000000
105,1135.041982,1135.107929,1314.565752,1.000000
106,1135.041982,1135.074955,1392.002349,1.000000
107,1135.041982,1142.958703,1464.220359,1.000000
108,1135.041982,1184.167319,1378.981946,1.000000
109,1135.041982,1161.092454,1368.064230,1.000000
110,1135.041982,1179.747019,1397.634812,1.000000
111,1135.041982,1172.064326,1336.267860,1.000000
112,1135.041982,1137.153438,1400.152000,1.000000
113,1135.041982,1154.908771,1411.280187,1.000000
114,1135.041982,1137.153438,1306.034858,1.000000
115,1135.041982,1137.153438,1516.287105,1.000000
116,1135.041982,1137.219385,1289.289307,1.000000
117,1135.041982,1137.219385,1505.010625,1.000000
118,1135.041982,1180.227062,1370.662116,1.000000
119,1135.041982,1137.186412,1422.578809,1.000000
120,1135.041982,1150.263601,1397.084399,1.000000
121,1135.041982,1135.311524,1398.422050,1.000000
122,1135.041982,1180.227062,1367.149246,1.000000
123,1135.041982,1174.344169,1433.199461,1.000000
124,1135.041982,1137.153438,1399.613611,1.000000
125,1135.041982,1180.227062,1306.034858,1.000000
126,1135.041982,1175.422595,1346.519548,1.000000
127,1135.041982,1137.153438,1428.027709,1.000000
128,1135.041982,1178.974212,1333.080930,1.000000
129,1135.041982,1169.897508,1363.063375,1.000000
130,1135.041982,1171.763010,1340.638576,1.000000
131,1135.041982,1137.153438,1444.009062,1.000000
132,1135.041982,1137.153438,1347.121686,1.000000
133,1135.041982,1137.153438,1355.144420,1.000000
134,1135.041982,1137.153438,1306.502253,1.000000
135,1135.041982,1137.153438,1321.859675,1.000000
136,1135.041982,1137.153438,1304.677188,1.000000
137,1135.041982,1137.153438,1384.118199,1.000000
138,1135.041982,1137.153438,1345.355300,1.000000
139,1135.041982,1137.153438,1358.960299,1.000000
140,1135.041982,1154.395081,1348.846444,1.000000
141,1135.041982,1137.153438,1394.332217,1.000000
142,1135.041982,1162.236641,1309.954998,1.000000
143,1135.041982,1137.153438,1412.041273,1.000000
144,1135.041982,1180.227062,1422.064530,1.000000
145,1135.041982,1137.329012,1396.007708,1.000000
146,1135.041982,1138.497852,1345.259647,1.000000
147,1135.041982,1137.153438,1366.287256,1.000000
148,1135.041982,1137.153438,1362.683620,1.000000
149,1135.041982,1155.330108,1314.565752,1.000000
150,1135.041982,1137.153438,1324.198633,1.000000
151,1135.041982,1135.515118,1368.355495,1.000000
152,1135.041982,1136.334278,1326.409753,1.000000
153,1135.041982,1137.153438,1349.844771,1.000000
154,1135.041982,1137.153438,1358.766806,1.000000
155,1135.041982,1137.153438,1335.504347,1.000000
156,1135.041982,1137.153438,1343.061231,1.000000
157,1135.041982,1136.097710,1473.439804,1.000000
158,1135.041982,1137.153438,1351.942721,1.000000
159,1135.041982,1137.153438,1566.787681,1.000000
160,1135.041982,1137.153438,1391.997601,1.000000
161,1135.041982,1173.733570,1347.873788,1.000000
162,1135.041982,1137.504586,1317.185095,1.000000
163,1135.041982,1137.504586,1404.496616,1.000000
164,1135.041982,1171.395541,1486.986892,1.000000
165,1135.041982,1137.504586,1388.392371,1.000000
166,1135.041982,1154.910054,1324.618679,1.000000
167,1135.041982,1171.532298,1337.649083,1.000000
168,1135.041982,1137.153438,1338.856355,1.000000
169,1135.041982,1135.074955,1324.477973,1.000000
170,1135.041982,1174.145792,1333.752309,1.000000
171,1135.041982,1171.427872,1430.396164,1.000000
172,1135.041982,1143.934169,1422.393198,1.000000
173,1135.041982,1135.074955,1356.481893,1.000000
174,1135.041982,1180.227062,1342.864754,1.000000
175,1135.041982,1137.153438,1390.312393,1.000000
176,1135.041982,1171.636723,1353.353118,1.000000
177,1135.041982,1180.227062,1340.638576,1.000000
178,1135.041982,1138.908775,1364.151698,1.000000
179,1135.041982,1171.636723,1351.954835,1.000000
180,1135.041982,1137.153438,1356.053360,1.000000
181,1135.041982,1137.153438,1361.914556,1.000000
182,1135.041982,1136.334278,1375.160181,1.000000
183,1135.041982,1137.153438,1307.213851,1.000000
184,1135.041982,1163.560520,1346.243744,1.000000
185,1135.041982,1157.709259,1406.077132,1.000000
186,1135.041982,1179.818167,1422.360810,1.000000
187,1135.041982,1154.085405,1458.649367,1.000000
188,1135.041982,1171.658584,1365.588653,1.000000
189,1135.041982,1137.153438,1512.406802,1.000000
190,1131.818704,1137.153438,1340.923374,1.000000
191,1131.818704,1137.153438,1376.639208,1.000000
192,1131.818704,1135.168269,1336.125119,1.000000
193,1130.858618,1135.041982,1325.601160,1.000000
194,1130.858618,1135.041982,1360.952677,1.000000
195,1130.858618,1135.041982,1334.758581,1.000000
196,1130.858618,1135.041982,1361.106803,1.000000
197,1130.858618,1132.622881,1315.185985,1.000000
198,1130.858618,1133.490553,1328.353091,1.000000
199,1130.858618,1137.153438,1480.134737,1.000000
200,1130.858618,1135.515118,1413.300590,1.000000
201,1130.858618,1153.199775,1357.590636,1.000000
202,1130.858618,1133.699885,1314.238362,1.000000
203,1130.858618,1131.818704,1351.696863,1.000000
204,1130.858618,1133.666911,1311.320824,1.000000
205,1130.858618,1133.666911,1373.536571,1.000000
206,1130.858618,1131.338661,1314.294902,1.000000
207,1130.858618,1130.858618,1314.238362,1.000000
208,1130.858618,1131.818704,1329.407532,1.000000
209,1130.858618,1134.546281,1322.253522,1.000000
210,1130.858618,1137.153438,1364.674741,1.000000
211,1130.858618,1131.818704,1325.603716,1.000000
212,1130.858618,1132.381303,1357.969412,1.000000
213,1130.858618,1131.371635,1314.225899,1.000000
214,1130.858618,1131.818704,1357.377248,1.000000
215,1130.858618,1131.818704,1363.096420,1.000000
216,1130.858618,1137.153438,1314.225899,1.000000
217,1130.858618,1135.041982,1326.694242,1.000000
218,1130.858618,1135.041982,1301.118887,1.000000
